2226 - 0m :2s : 226ms :     tm 26.33, hd 51.65, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 12381, eth 16219, lux 2830.74, als 5329, wh 9456, ori 0.00 0.00 0.00, gyr 0.00 0.00 0.00, lin 0.00 0.00 0.00, mag 0.00 0.00 0.00, accl 0.00 0.00 0.00, grav 0.00 0.00 0.00, xpos 0.00, ypos 0.00, head 0.00
409218 - 6m :49s : 218ms :     tm 25.65, hd 53.14, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 14589, eth 18791, lux 2990.19, als 5594, wh 9808, ori 10.00 -85.62 -4.31, gyr 0.01 0.00 -0.01, lin -0.14 0.09 -0.12, mag 16.19 -3.38 31.00, accl -9.92 0.82 -0.03, grav -9.77 0.73 0.09, xpos -12229353.64, ypos 1453743.15, head -0.07
409706 - 6m :49s : 706ms :     tm 25.67, hd 53.16, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 14589, eth 18797, lux 2986.07, als 5586, wh 9819, ori 10.00 -85.56 -4.31, gyr 0.00 0.01 -0.00, lin -0.13 0.20 -0.07, mag 14.38 -3.38 31.00, accl -9.91 0.94 0.01, grav -9.77 0.74 0.09, xpos -12244833.00, ypos 1477557.55, head -0.06
410191 - 6m :50s : 191ms :     tm 25.65, hd 53.11, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 14589, eth 18789, lux 2991.95, als 5596, wh 9818, ori 10.06 -85.56 -4.31, gyr 0.01 0.00 -0.00, lin -0.11 0.06 0.08, mag 15.75 -2.69 30.56, accl -9.89 0.81 0.17, grav -9.77 0.74 0.09, xpos -12257770.37, ypos 1484614.30, head -0.05
410676 - 6m :50s : 676ms :     tm 25.65, hd 53.13, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 14589, eth 18800, lux 2989.01, als 5591, wh 9820, ori 10.12 -85.56 -4.31, gyr -0.00 0.00 0.00, lin -0.13 0.22 0.01, mag 15.00 -2.88 30.25, accl -9.91 0.97 0.10, grav -9.77 0.74 0.08, xpos -12273060.00, ypos 1510489.05, head -0.06
411163 - 6m :51s : 163ms :     tm 25.67, hd 53.12, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 14591, eth 18796, lux 2987.25, als 5591, wh 9810, ori 10.31 -85.69 -4.25, gyr -0.00 -0.01 -0.01, lin -0.10 0.40 -0.06, mag 15.19 -3.19 31.38, accl -9.88 1.13 0.02, grav -9.77 0.72 0.09, xpos -12284918.45, ypos 1557922.85, head -0.05
411652 - 6m :51s : 652ms :     tm 25.65, hd 53.10, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 14589, eth 18799, lux 2990.78, als 5589, wh 9821, ori 10.56 -85.81 -4.12, gyr -0.00 -0.00 -0.00, lin -0.09 0.06 -0.07, mag 15.56 -2.75 31.38, accl -9.87 0.77 -0.01, grav -9.78 0.70 0.05, xpos -12295678.89, ypos 1565096.48, head -0.04
412134 - 6m :52s : 134ms :     tm 25.62, hd 53.10, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 14580, eth 18777, lux 2987.84, als 5589, wh 9823, ori 10.56 -85.75 -4.12, gyr -0.00 -0.00 -0.00, lin -0.11 0.18 0.02, mag 16.00 -2.75 29.75, accl -9.89 0.90 0.08, grav -9.78 0.71 0.06, xpos -12308456.71, ypos 1586005.64, head -0.05
412619 - 6m :52s : 619ms :     tm 25.65, hd 53.12, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 14594, eth 18795, lux 2988.43, als 5590, wh 9819, ori 10.56 -85.75 -4.19, gyr 0.00 0.00 -0.00, lin -0.12 0.13 0.00, mag 16.38 -3.88 31.00, accl -9.89 0.71 0.11, grav -9.77 0.72 0.06, xpos -12322570.21, ypos 1601295.26, head -0.06
413103 - 6m :53s : 103ms :     tm 25.65, hd 53.13, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 14589, eth 18792, lux 2990.19, als 5593, wh 9824, ori 10.75 -85.81 -4.12, gyr 0.01 0.01 0.00, lin -0.15 -0.09 -0.13, mag 15.19 -2.06 31.00, accl -9.93 0.61 -0.08, grav -9.78 0.70 0.05, xpos -12340139.41, ypos 1590753.74, head -0.07
413584 - 6m :53s : 584ms :     tm 25.67, hd 53.08, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 14590, eth 18801, lux 2987.25, als 5590, wh 9831, ori 10.88 -85.88 -4.06, gyr 0.01 0.02 0.00, lin -0.12 0.24 -0.07, mag 14.75 -3.19 30.69, accl -9.90 0.94 -0.03, grav -9.78 0.69 0.04, xpos -12354021.07, ypos 1618517.06, head -0.06
414070 - 6m :54s : 70ms :     tm 25.65, hd 53.08, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 14594, eth 18802, lux 2987.25, als 5586, wh 9833, ori 11.06 -85.88 -4.06, gyr 0.01 0.01 0.00, lin -0.12 0.19 -0.01, mag 14.75 -2.50 31.06, accl -9.90 0.89 0.01, grav -9.78 0.69 0.03, xpos -12368192.83, ypos 1640955.68, head -0.06
414554 - 6m :54s : 554ms :     tm 25.64, hd 53.04, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 14590, eth 18798, lux 2988.43, als 5590, wh 9832, ori 11.00 -85.88 -4.06, gyr -0.01 -0.01 0.00, lin -0.12 0.18 0.08, mag 14.75 -2.50 29.50, accl -9.90 0.89 0.11, grav -9.78 0.70 0.02, xpos -12382248.19, ypos 1662038.72, head -0.06
415041 - 6m :55s : 41ms :     tm 25.64, hd 53.11, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 14591, eth 18790, lux 2985.49, als 5585, wh 9834, ori 11.00 -85.81 -4.12, gyr -0.02 -0.01 0.03, lin -0.10 0.01 0.20, mag 14.50 -2.38 30.38, accl -9.88 0.72 0.25, grav -9.78 0.71 0.05, xpos -12394106.64, ypos 1663224.57, head -0.05
415526 - 6m :55s : 526ms :     tm 25.62, hd 53.12, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 14586, eth 18795, lux 2987.84, als 5593, wh 9832, ori 11.19 -85.81 -4.06, gyr 0.01 -0.00 -0.01, lin -0.13 -0.06 -0.10, mag 15.06 -2.25 31.00, accl -9.91 0.63 -0.05, grav -9.78 0.70 0.04, xpos -12409396.27, ypos 1656167.82, head -0.06
416010 - 6m :56s : 10ms :     tm 25.68, hd 53.18, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 14593, eth 18799, lux 2987.84, als 5591, wh 9828, ori 11.12 -85.75 -4.19, gyr 0.01 0.01 -0.00, lin -0.14 -0.05 0.11, mag 14.06 -2.69 31.00, accl -9.92 0.66 0.18, grav -9.78 0.71 0.07, xpos -12425794.19, ypos 1650311.42, head -0.07
416496 - 6m :56s : 496ms :     tm 25.67, hd 53.16, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 14589, eth 18799, lux 2987.84, als 5589, wh 9823, ori 11.12 -85.69 -4.25, gyr 0.00 0.01 -0.01, lin -0.13 0.13 0.10, mag 14.38 -2.69 29.75, accl -9.91 0.86 0.17, grav -9.77 0.73 0.07, xpos -12441146.93, ypos 1665664.16, head -0.06
416983 - 6m :56s : 983ms :     tm 25.65, hd 53.15, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 14593, eth 18804, lux 2989.60, als 5592, wh 9826, ori 11.12 -85.69 -4.25, gyr -0.00 0.00 -0.01, lin -0.12 0.03 0.03, mag 14.38 -2.00 29.75, accl -9.90 0.76 0.09, grav -9.77 0.73 0.05, xpos -12455377.06, ypos 1669221.69, head -0.06
417466 - 6m :57s : 466ms :     tm 25.68, hd 53.20, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 14584, eth 18796, lux 2989.60, als 5592, wh 9832, ori 11.12 -85.69 -4.25, gyr -0.00 -0.00 0.00, lin -0.13 0.03 0.02, mag 14.69 -3.06 30.19, accl -9.91 0.76 0.07, grav -9.77 0.73 0.05, xpos -12470540.85, ypos 1672721.03, head -0.06
417955 - 6m :57s : 955ms :     tm 25.68, hd 53.18, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 14585, eth 18794, lux 2990.78, als 5593, wh 9821, ori 11.19 -85.69 -4.25, gyr -0.00 -0.01 -0.00, lin -0.12 0.05 -0.01, mag 14.69 -2.25 30.19, accl -9.90 0.78 0.04, grav -9.77 0.73 0.05, xpos -12484888.11, ypos 1678699.05, head -0.06
418436 - 6m :58s : 436ms :     tm 25.67, hd 53.19, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 14588, eth 18796, lux 2989.60, als 5597, wh 9824, ori 11.19 -85.69 -4.25, gyr -0.00 -0.01 -0.00, lin -0.12 0.00 -0.10, mag 14.69 -3.06 29.75, accl -9.90 0.73 -0.05, grav -9.77 0.73 0.05, xpos -12498769.77, ypos 1678699.05, head -0.06
418923 - 6m :58s : 923ms :     tm 25.67, hd 53.15, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 14597, eth 18803, lux 2990.19, als 5593, wh 9823, ori 11.12 -85.62 -4.31, gyr 0.01 0.01 -0.00, lin -0.11 -0.04 0.05, mag 14.69 -2.00 31.38, accl -9.91 0.74 0.03, grav -9.77 0.74 0.05, xpos -12511814.06, ypos 1673955.67, head -0.05
419411 - 6m :59s : 411ms :     tm 25.67, hd 53.15, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 14593, eth 18807, lux 2989.60, als 5592, wh 9832, ori 11.06 -85.62 -4.31, gyr 0.01 -0.00 0.00, lin -0.11 0.09 0.14, mag 15.06 -3.06 28.69, accl -9.89 0.83 0.21, grav -9.77 0.74 0.06, xpos -12524911.98, ypos 1684672.15, head -0.05
419894 - 6m :59s : 894ms :     tm 25.67, hd 53.12, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 14587, eth 18802, lux 2989.01, als 5594, wh 9836, ori 11.06 -85.62 -4.31, gyr -0.01 -0.01 0.01, lin -0.14 -0.05 -0.03, mag 15.50 -2.69 31.00, accl -9.90 0.71 0.06, grav -9.77 0.74 0.05, xpos -12541242.21, ypos 1678839.93, head -0.07
420383 - 7m :0s : 383ms :     tm 25.67, hd 53.12, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 14593, eth 18800, lux 2992.54, als 5591, wh 9830, ori 11.06 -85.62 -4.31, gyr 0.00 0.01 0.00, lin -0.10 -0.09 -0.08, mag 15.06 -3.06 30.56, accl -9.88 0.64 -0.01, grav -9.77 0.74 0.06, xpos -12553198.26, ypos 1668079.48, head -0.05
420876 - 7m :0s : 876ms :     tm 25.65, hd 53.11, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 14588, eth 18795, lux 2991.37, als 5595, wh 9833, ori 11.06 -85.62 -4.31, gyr 0.01 0.01 -0.00, lin -0.13 0.01 0.04, mag 15.06 -3.38 30.56, accl -9.89 0.75 0.07, grav -9.77 0.74 0.06, xpos -12568996.45, ypos 1669294.73, head -0.07
421362 - 7m :1s : 362ms :     tm 25.68, hd 53.07, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 14590, eth 18796, lux 2991.95, als 5596, wh 9830, ori 11.06 -85.62 -4.31, gyr 0.00 0.00 0.00, lin -0.11 0.08 0.02, mag 14.69 -3.06 29.75, accl -9.89 0.82 0.09, grav -9.77 0.74 0.06, xpos -12581987.23, ypos 1678742.57, head -0.05
421847 - 7m :1s : 847ms :     tm 25.67, hd 53.09, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 14586, eth 18795, lux 2990.78, als 5594, wh 9824, ori 11.06 -85.62 -4.31, gyr -0.01 0.00 0.01, lin -0.12 0.01 -0.01, mag 14.69 -2.25 30.56, accl -9.90 0.75 0.04, grav -9.77 0.74 0.06, xpos -12596100.73, ypos 1679918.69, head -0.06
422330 - 7m :2s : 330ms :     tm 25.65, hd 53.10, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 14589, eth 18802, lux 2994.31, als 5593, wh 9835, ori 11.06 -85.62 -4.31, gyr 0.00 -0.00 0.00, lin -0.14 0.00 0.00, mag 15.06 -2.25 29.75, accl -9.90 0.76 0.01, grav -9.77 0.74 0.06, xpos -12612430.96, ypos 1679918.69, head -0.07
422817 - 7m :2s : 817ms :     tm 25.68, hd 53.04, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 14596, eth 18810, lux 2991.37, als 5597, wh 9824, ori 11.06 -85.62 -4.31, gyr -0.00 -0.00 0.00, lin -0.13 0.03 0.02, mag 15.50 -1.56 30.19, accl -9.91 0.77 0.08, grav -9.77 0.74 0.06, xpos -12627846.94, ypos 1683476.23, head -0.06
423305 - 7m :3s : 305ms :     tm 25.65, hd 53.08, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 14586, eth 18790, lux 2989.01, als 5591, wh 9826, ori 11.06 -85.62 -4.31, gyr 0.01 -0.00 0.00, lin -0.11 0.03 -0.01, mag 14.69 -2.25 31.00, accl -9.89 0.77 0.04, grav -9.77 0.74 0.06, xpos -12640944.86, ypos 1687048.39, head -0.05
423789 - 7m :3s : 789ms :     tm 25.67, hd 53.07, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 14598, eth 18805, lux 2993.13, als 5598, wh 9825, ori 11.06 -85.62 -4.31, gyr -0.00 -0.00 0.00, lin -0.11 0.00 0.01, mag 14.69 -2.25 30.56, accl -9.89 0.73 0.07, grav -9.77 0.74 0.06, xpos -12653828.94, ypos 1687048.39, head -0.05
424274 - 7m :4s : 274ms :     tm 25.65, hd 53.02, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 14595, eth 18810, lux 2991.37, als 5588, wh 9826, ori 11.06 -85.62 -4.31, gyr 0.01 0.00 0.00, lin -0.11 0.05 -0.04, mag 15.06 -3.06 29.75, accl -9.89 0.83 0.01, grav -9.77 0.74 0.06, xpos -12666766.32, ypos 1692929.01, head -0.05
424762 - 7m :4s : 762ms :     tm 25.65, hd 52.98, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 14589, eth 18804, lux 2993.13, als 5588, wh 9821, ori 11.06 -85.62 -4.31, gyr 0.01 0.00 -0.00, lin -0.11 0.04 0.00, mag 14.38 -3.06 30.19, accl -9.89 0.79 0.06, grav -9.77 0.74 0.06, xpos -12679864.24, ypos 1697691.89, head -0.05
425244 - 7m :5s : 244ms :     tm 25.67, hd 52.97, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 14588, eth 18802, lux 2989.60, als 5592, wh 9823, ori 11.06 -85.62 -4.31, gyr -0.00 -0.01 0.00, lin -0.11 0.07 0.03, mag 25.38 -5.50 53.19, accl -9.89 0.81 0.10, grav -9.77 0.74 0.06, xpos -12692642.06, ypos 1705823.23, head -0.05
425731 - 7m :5s : 731ms :     tm 25.65, hd 52.95, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 14597, eth 18810, lux 2988.43, als 5590, wh 9821, ori 11.06 -85.62 -4.31, gyr -0.00 -0.00 -0.00, lin -0.12 0.14 0.08, mag 26.19 -5.88 52.38, accl -9.90 0.88 0.15, grav -9.77 0.74 0.06, xpos -12706872.20, ypos 1722425.06, head -0.06
426218 - 7m :6s : 218ms :     tm 25.65, hd 52.94, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 14598, eth 18814, lux 2989.01, als 5591, wh 9830, ori 11.06 -85.62 -4.31, gyr 0.00 -0.00 0.00, lin -0.13 -0.02 0.03, mag 25.06 -5.50 52.38, accl -9.91 0.71 0.10, grav -9.77 0.74 0.06, xpos -12722288.18, ypos 1720053.37, head -0.06
426700 - 7m :6s : 700ms :     tm 25.65, hd 52.97, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 14603, eth 18816, lux 2989.01, als 5586, wh 9828, ori 11.06 -85.62 -4.31, gyr 0.00 -0.00 0.00, lin -0.11 0.07 0.00, mag 25.38 -5.06 52.38, accl -9.89 0.76 0.04, grav -9.77 0.74 0.06, xpos -12735066.00, ypos 1728184.71, head -0.05
427188 - 7m :7s : 188ms :     tm 25.62, hd 52.94, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 14595, eth 18810, lux 2986.66, als 5588, wh 9834, ori 11.06 -85.62 -4.31, gyr 0.00 -0.00 0.00, lin -0.12 -0.05 -0.01, mag 25.75 -5.06 53.56, accl -9.90 0.68 0.04, grav -9.77 0.74 0.06, xpos -12749354.64, ypos 1722231.11, head -0.06
427674 - 7m :7s : 674ms :     tm 25.64, hd 52.96, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 14598, eth 18818, lux 2989.01, als 5591, wh 9822, ori 11.06 -85.62 -4.31, gyr 0.00 0.00 0.00, lin -0.12 0.00 -0.03, mag 24.75 -5.50 53.19, accl -9.90 0.74 0.03, grav -9.77 0.74 0.06, xpos -12763526.40, ypos 1722231.11, head -0.06
428161 - 7m :8s : 161ms :     tm 25.65, hd 52.99, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 14594, eth 18805, lux 2987.84, als 5589, wh 9826, ori 11.06 -85.62 -4.31, gyr -0.00 -0.00 -0.00, lin -0.12 0.08 -0.07, mag 24.38 -5.50 52.75, accl -9.90 0.82 0.00, grav -9.77 0.74 0.06, xpos -12777756.54, ypos 1731717.87, head -0.06
428649 - 7m :8s : 649ms :     tm 25.65, hd 52.99, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 14587, eth 18802, lux 2983.13, als 5586, wh 9821, ori 11.00 -85.56 -4.38, gyr -0.00 0.00 -0.01, lin -0.13 0.18 -0.15, mag 24.00 -5.50 53.19, accl -9.91 0.93 -0.09, grav -9.77 0.75 0.06, xpos -12793235.90, ypos 1753150.83, head -0.06
429132 - 7m :9s : 132ms :     tm 25.67, hd 52.98, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 14593, eth 18803, lux 2989.01, als 5591, wh 9821, ori 11.00 -85.56 -4.38, gyr 0.00 0.00 -0.00, lin -0.13 0.06 -0.03, mag 25.06 -6.19 51.56, accl -9.91 0.81 0.02, grav -9.77 0.74 0.06, xpos -12808399.68, ypos 1760149.50, head -0.06
429617 - 7m :9s : 617ms :     tm 25.68, hd 52.97, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 14584, eth 18797, lux 2984.31, als 5583, wh 9824, ori 11.06 -85.62 -4.31, gyr -0.00 -0.01 -0.00, lin -0.12 0.06 -0.02, mag 25.06 -6.19 52.06, accl -9.88 0.80 0.02, grav -9.77 0.74 0.05, xpos -12822513.18, ypos 1767206.25, head -0.06
430105 - 7m :10s : 105ms :     tm 25.65, hd 52.98, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 14600, eth 18811, lux 2988.43, als 5590, wh 9827, ori 11.06 -85.62 -4.31, gyr 0.00 -0.00 -0.00, lin -0.14 0.04 -0.07, mag 25.06 -5.06 52.75, accl -9.92 0.79 -0.01, grav -9.77 0.74 0.05, xpos -12839183.26, ypos 1771969.13, head -0.07
430588 - 7m :10s : 588ms :     tm 25.65, hd 52.98, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 14589, eth 18808, lux 2986.07, als 5586, wh 9822, ori 11.00 -85.62 -4.31, gyr -0.00 -0.00 -0.01, lin -0.11 0.09 0.03, mag 25.06 -5.88 52.38, accl -9.89 0.83 0.09, grav -9.77 0.74 0.05, xpos -12852014.16, ypos 1782467.14, head -0.05
431075 - 7m :11s : 75ms :     tm 25.65, hd 52.96, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 14594, eth 18811, lux 2984.31, als 5582, wh 9823, ori 11.00 -85.62 -4.31, gyr -0.00 -0.01 0.00, lin -0.12 0.00 -0.05, mag 26.56 -4.75 52.38, accl -9.90 0.74 0.00, grav -9.77 0.74 0.05, xpos -12866244.30, ypos 1782467.14, head -0.06
431557 - 7m :11s : 557ms :     tm 25.67, hd 53.00, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 14590, eth 18799, lux 2986.07, als 5581, wh 9832, ori 11.06 -85.62 -4.31, gyr 0.00 0.01 -0.00, lin -0.13 -0.02 -0.11, mag 25.38 -5.06 53.56, accl -9.91 0.72 -0.05, grav -9.77 0.74 0.06, xpos -12881345.36, ypos 1780143.90, head -0.06
432045 - 7m :12s : 45ms :     tm 25.67, hd 52.95, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 14591, eth 18800, lux 2983.72, als 5582, wh 9829, ori 11.00 -85.56 -4.31, gyr 0.00 0.00 -0.01, lin -0.12 0.06 0.02, mag 25.75 -5.88 52.75, accl -9.90 0.80 0.08, grav -9.77 0.74 0.06, xpos -12895634.00, ypos 1787288.22, head -0.06
432531 - 7m :12s : 531ms :     tm 25.65, hd 53.01, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 14587, eth 18804, lux 2981.96, als 5579, wh 9830, ori 11.06 -85.56 -4.31, gyr -0.01 -0.01 0.00, lin -0.12 0.13 -0.04, mag 24.75 -6.19 52.75, accl -9.90 0.88 0.02, grav -9.77 0.74 0.07, xpos -12909805.76, ypos 1802640.96, head -0.06
433011 - 7m :13s : 11ms :     tm 25.65, hd 52.96, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 14589, eth 18808, lux 2981.96, als 5579, wh 9836, ori 10.94 -85.56 -4.38, gyr -0.02 -0.01 0.01, lin -0.12 0.14 -0.20, mag 25.06 -5.06 53.56, accl -9.90 0.89 -0.13, grav -9.77 0.75 0.07, xpos -12923629.76, ypos 1818768.96, head -0.06
433499 - 7m :13s : 499ms :     tm 25.64, hd 52.98, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 14592, eth 18805, lux 2984.90, als 5581, wh 9820, ori 10.88 -85.50 -4.44, gyr 0.00 0.01 0.00, lin -0.15 -0.06 -0.15, mag 24.75 -5.06 52.38, accl -9.93 0.68 -0.05, grav -9.77 0.75 0.09, xpos -12941490.56, ypos 1811624.64, head -0.07
433986 - 7m :13s : 986ms :     tm 25.65, hd 52.98, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 14590, eth 18804, lux 2983.72, als 5583, wh 9810, ori 10.81 -85.50 -4.44, gyr 0.01 0.01 -0.01, lin -0.12 -0.07 0.00, mag 24.75 -6.19 52.38, accl -9.90 0.68 0.08, grav -9.77 0.76 0.08, xpos -12955720.70, ypos 1803323.72, head -0.06
434469 - 7m :14s : 469ms :     tm 25.67, hd 52.99, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 14598, eth 18816, lux 2982.55, als 5580, wh 9815, ori 10.81 -85.50 -4.44, gyr -0.00 0.00 -0.01, lin -0.12 0.01 -0.08, mag 25.75 -5.88 52.75, accl -9.90 0.78 0.00, grav -9.77 0.76 0.07, xpos -12969718.04, ypos 1804490.17, head -0.06
434956 - 7m :14s : 956ms :     tm 25.65, hd 52.96, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 14596, eth 18820, lux 2984.90, als 5584, wh 9803, ori 10.69 -85.38 -4.50, gyr 0.01 0.01 -0.00, lin -0.12 0.20 -0.02, mag 25.38 -5.88 52.75, accl -9.89 0.97 0.07, grav -9.77 0.77 0.09, xpos -12983948.18, ypos 1828207.07, head -0.06
435445 - 7m :15s : 445ms :     tm 25.65, hd 52.99, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 14598, eth 18814, lux 2982.55, als 5581, wh 9810, ori 10.69 -85.38 -4.50, gyr 0.01 -0.00 0.01, lin -0.13 0.09 -0.07, mag 26.19 -5.06 52.38, accl -9.90 0.86 0.01, grav -9.77 0.77 0.09, xpos -12999491.04, ypos 1838967.51, head -0.06
435927 - 7m :15s : 927ms :     tm 25.64, hd 52.97, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 14598, eth 18818, lux 2980.19, als 5581, wh 9813, ori 10.69 -85.44 -4.50, gyr 0.00 0.00 0.00, lin -0.14 -0.12 0.02, mag 25.38 -4.75 52.00, accl -9.91 0.65 0.11, grav -9.77 0.77 0.08, xpos -13015753.72, ypos 1825028.07, head -0.07
436412 - 7m :16s : 412ms :     tm 25.65, hd 53.01, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 14597, eth 18809, lux 2983.13, als 5581, wh 9813, ori 10.62 -85.38 -4.56, gyr 0.00 -0.01 -0.00, lin -0.12 -0.28 0.06, mag 25.06 -5.06 52.00, accl -9.91 0.43 0.20, grav -9.77 0.78 0.09, xpos -13029867.22, ypos 1792096.57, head -0.06
436897 - 7m :16s : 897ms :     tm 25.64, hd 52.96, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 14594, eth 18812, lux 2983.13, als 5581, wh 9806, ori 10.56 -85.31 -4.56, gyr 0.01 0.00 -0.01, lin -0.13 -0.28 0.13, mag 25.06 -5.50 51.56, accl -9.90 0.50 0.22, grav -9.77 0.78 0.09, xpos -13045156.85, ypos 1759165.07, head -0.06
437384 - 7m :17s : 384ms :     tm 25.64, hd 52.95, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 14602, eth 18818, lux 2980.78, als 5577, wh 9812, ori 10.56 -85.31 -4.56, gyr -0.00 -0.01 -0.00, lin -0.11 -0.03 0.12, mag 25.75 -6.19 53.19, accl -9.88 0.72 0.22, grav -9.77 0.78 0.08, xpos -13058201.14, ypos 1755607.54, head -0.05
437872 - 7m :17s : 872ms :     tm 25.64, hd 52.98, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 14599, eth 18813, lux 2984.90, als 5581, wh 9815, ori 10.56 -85.38 -4.56, gyr 0.00 -0.00 -0.00, lin -0.12 -0.01 -0.03, mag 26.19 -4.75 51.25, accl -9.89 0.77 0.04, grav -9.77 0.78 0.08, xpos -13072489.78, ypos 1754416.82, head -0.06
438357 - 7m :18s : 357ms :     tm 25.65, hd 52.98, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 14600, eth 18821, lux 2980.19, als 5577, wh 9820, ori 10.62 -85.38 -4.56, gyr 0.01 0.01 -0.01, lin -0.11 -0.13 0.01, mag 24.75 -5.50 52.38, accl -9.91 0.64 0.04, grav -9.77 0.78 0.05, xpos -13085427.15, ypos 1739127.19, head -0.05
438845 - 7m :18s : 845ms :     tm 25.62, hd 52.98, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 14597, eth 18816, lux 2979.61, als 5575, wh 9803, ori 10.62 -85.31 -4.62, gyr 0.01 0.00 -0.02, lin -0.11 0.16 -0.02, mag 25.75 -6.19 53.56, accl -9.88 0.95 0.02, grav -9.77 0.79 0.05, xpos -13098525.07, ypos 1758178.71, head -0.05
439328 - 7m :19s : 328ms :     tm 25.64, hd 52.97, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 14603, eth 18810, lux 2980.78, als 5577, wh 9811, ori 10.75 -85.44 -4.50, gyr -0.01 -0.01 0.00, lin -0.12 0.13 0.09, mag 15.19 -4.00 31.50, accl -9.89 0.92 0.14, grav -9.77 0.77 0.04, xpos -13112522.41, ypos 1773342.50, head -0.06
439814 - 7m :19s : 814ms :     tm 25.67, hd 53.01, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 14598, eth 18814, lux 2986.07, als 5579, wh 9802, ori 10.81 -85.44 -4.50, gyr 0.00 -0.00 0.01, lin -0.12 0.23 0.05, mag 15.56 -2.88 32.25, accl -9.90 1.00 0.10, grav -9.77 0.77 0.04, xpos -13126694.17, ypos 1800505.04, head -0.06
440299 - 7m :20s : 299ms :     tm 25.65, hd 53.02, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 14598, eth 18815, lux 2980.19, als 5577, wh 9807, ori 10.94 -85.50 -4.44, gyr 0.01 0.01 -0.01, lin -0.13 0.02 -0.16, mag 15.56 -3.19 32.25, accl -9.91 0.79 -0.15, grav -9.77 0.76 0.00, xpos -13141983.80, ypos 1802857.29, head -0.06
